"year","month","pco2atm","wind"
1982,1,341.380035400391,3.59498889391706
1982,2,343.522033691406,3.66012538724193
1982,3,343.064544677734,3.97936653492943
1982,4,342.447204589844,3.65774403588054
1982,5,341.788482666016,2.96411966416131
1982,6,335.338104248047,2.65608416395052
1982,7,327.403930664062,2.53431852120776
1982,8,322.422973632812,2.75994898020792
1982,9,326.250366210938,2.73978889346708
1982,10,331.545196533203,3.80251934552887
1982,11,338.376312255859,4.10180445579652
1982,12,339.951568603516,4.05253826878797
1983,1,345.088165283203,1.91462095587811
1983,2,342.955169677734,3.12209481467187
1983,3,342.283752441406,3.11598620465221
1983,4,341.195770263672,2.80297523900016
1983,5,339.643096923828,2.69608292304985
1983,6,337.307708740234,2.47895080752191
1983,7,331.466827392578,2.27570519664567
1983,8,327.470520019531,2.52597928007095
1983,9,329.664428710938,2.89762902340766
1983,10,336.779693603516,3.57439992279932
1983,11,340.113464355469,4.07891462660592
1983,12,342.229248046875,4.43490672723671
1984,1,343.676574707031,2.92454719778726
1984,2,346.290985107422,4.70741369116723
1984,3,344.495727539062,3.65019631987835
1984,4,343.752410888672,3.130432056362
1984,5,341.307739257812,3.73402287986022
1984,6,339.107635498047,2.88227963220024
1984,7,331.950408935547,2.45570154449386
1984,8,329.422790527344,2.67184639990465
1984,9,331.353851318359,2.64728568865566
1984,10,338.408325195312,3.05961512944554
1984,11,340.735168457031,3.62645047898002
1984,12,345.204833984375,4.23965959497618
1985,1,342.493225097656,4.96457011959725
1985,2,346.856628417969,3.26952060520995
1985,3,347.175354003906,3.61770817329526
1985,4,346.505157470703,3.62487856531001
1985,5,343.777496337891,3.00526848686383
1985,6,339.73974609375,2.81129565411651
1985,7,335.84716796875,2.54138660120511
1985,8,330.300933837891,2.88885028029443
1985,9,333.120086669922,2.73680794692838
1985,10,340.22216796875,3.78086857134909
1985,11,342.044158935547,4.97855668954868
1985,12,346.611328125,2.54626246933489
1986,1,345.906127929688,3.31760435014505
1986,2,345.140930175781,6.50402393169823
1986,3,348.271942138672,4.05454717373668
1986,4,346.675231933594,3.34040967528177
1986,5,346.920593261719,2.37767503694516
1986,6,341.819183349609,2.66823472556462
1986,7,336.505035400391,2.97246555785448
1986,8,332.771697998047,2.88249230885055
