"year","month","pco2atm","wind"
1982,1,342.932006835938,8.2301398846091
1982,2,344.341857910156,7.68877730522648
1982,3,344.014495849609,8.22273901064164
1982,4,346.166229248047,6.97021407934124
1982,5,343.995330810547,5.8308075227826
1982,6,338.894012451172,5.876419712349
1982,7,333.102447509766,6.26780354139659
1982,8,325.497863769531,7.28545267307798
1982,9,327.582275390625,6.44607065584722
1982,10,331.473419189453,8.00571234532548
1982,11,337.201019287109,10.133451953842
1982,12,340.354125976562,9.39579862165088
1983,1,345.554779052734,11.4229444431686
1983,2,345.00341796875,9.08682550870669
1983,3,343.998260498047,8.10969612016189
1983,4,341.420989990234,6.73707777136961
1983,5,340.855865478516,6.85471743292678
1983,6,341.944732666016,6.15795496018111
1983,7,335.464538574219,5.22590362829318
1983,8,330.562866210938,6.38876326617065
1983,9,330.00830078125,9.14700616328219
1983,10,337.727172851562,9.6805149649734
1983,11,341.572265625,7.31266639268574
1983,12,342.294219970703,9.56658364778268
1984,1,341.908630371094,11.3799238055156
1984,2,348.142333984375,8.53693921489389
1984,3,346.400085449219,6.9898514688306
1984,4,347.610443115234,5.7422997835655
1984,5,344.054138183594,6.40513336047851
1984,6,342.672668457031,5.36692133239705
1984,7,336.416107177734,5.64157181078494
1984,8,333.148895263672,5.37981935481246
1984,9,332.289093017578,7.88609809243428
1984,10,338.245422363281,8.74434533685915
1984,11,339.066314697266,8.61751993402355
1984,12,346.029541015625,8.2933319463473
1985,1,344.657073974609,8.59455687068687
1985,2,349.491577148438,7.37747434979704
1985,3,347.940185546875,6.87884154160395
1985,4,347.715087890625,8.02406696621254
1985,5,346.905151367188,6.5639363754315
1985,6,344.010711669922,6.66186469436262
1985,7,339.105438232422,6.37163732352264
1985,8,332.553253173828,8.00284266680969
1985,9,334.971160888672,6.70546981155369
1985,10,342.094268798828,6.75822216150517
1985,11,343.027801513672,9.04069619287309
1985,12,345.378570556641,9.35458828230052
1986,1,345.207702636719,11.1272091150422
1986,2,349.566284179688,9.02690089111075
1986,3,348.917083740234,8.000992835159
1986,4,349.220764160156,6.73919422107019
1986,5,350.166076660156,7.2781738141396
1986,6,346.734130859375,7.06853782827326
1986,7,340.174102783203,5.09662779829847
1986,8,334.630157470703,7.16100168532886
1986,9,339.032135009766,6.41542334579147
1986,10,341.805023193359,8.35448157117324
1986,11,346.803588867188,9.73718087927379
1986,12,348.008758544922,10.9845953510373
1987,1,351.490844726562,7.56094884146136
1987,2,350.304473876953,7.58483351909099
1987,3,351.686401367188,8.15548417659132
1987,4,352.641937255859,6.32840000764625
1987,5,352.363708496094,7.49057089483201
1987,6,347.014404296875,5.70480802651872
1987,7,340.84228515625,5.8093161118894
1987,8,334.957305908203,5.74715327472272
1987,9,336.145965576172,6.91739577671032
1987,10,340.042602539062,8.6245194038508
1987,11,346.817108154297,8.48448847915249
1987,12,351.156921386719,8.2272390325211
1988,1,347.953735351562,9.95416176129225
1988,2,351.514221191406,10.6999810837598
1988,3,351.500213623047,8.64634009128283
1988,4,354.352905273438,6.71760724487371
1988,5,352.010437011719,6.48093846917925
1988,6,350.04736328125,6.02152096111671
1988,7,341.127532958984,7.90017327752484
1988,8,337.030090332031,6.832620146493
1988,9,341.409149169922,8.30777369271564
1988,10,346.373901367188,7.68946227254255
1988,11,353.139190673828,6.98780190924036
1988,12,355.769287109375,8.67598254820109
1989,1,358.594879150391,7.51440611681993
1989,2,354.321258544922,9.46308902224681
1989,3,354.589660644531,8.5714355069492
1989,4,354.308746337891,7.32431996297544
1989,5,357.095123291016,6.01857080221206
1989,6,351.697265625,5.70655580701766
1989,7,344.627685546875,5.82001883353337
1989,8,337.055511474609,6.06873564404566
1989,9,340.913238525391,6.36361193130728
1989,10,346.782196044922,9.21381526890133
1989,11,351.10107421875,7.93595220014437
1989,12,352.345458984375,7.64822943875469
1990,1,356.262847900391,10.29748613733
